"facility_type","facility_name","address_clean","override_address","active","note"
"","금일경로당","","서울특별시 성동구 금호동1가 1-72","TRUE","legacy_manual_fix"
"","성너머경로당","","서울특별시 동대문구 전농동 산 32-20","TRUE","legacy_manual_fix"
"","아름경로당","","서울특별시 동대문구 휘경동 119-35","TRUE","legacy_manual_fix"
"","동구햇살APT경로당","","서울특별시 중랑구 동일로169길 41","TRUE","legacy_manual_fix"
"","월드메르디앙APT경로당","","서울특별시 중랑구 중랑천로 316","TRUE","legacy_manual_fix"
"","쌍신경로당","","서울특별시 도봉구 우이천로34길 66","TRUE","legacy_manual_fix"
"","효성아파트경로당","","서울특별시 노원구 화랑로 556","TRUE","legacy_manual_fix"
"","현우경로당","","서울특별시 노원구 섬밭로 232","TRUE","legacy_manual_fix"
"","신안·동진아파트경로당","","서울특별시 노원구 중계로 195","TRUE","legacy_manual_fix"
"","내발산","","서울특별시 강서구 우장산로 24-5","TRUE","legacy_manual_fix"
"","공항","","서울특별시 강서구 공항대로2가길 5","TRUE","legacy_manual_fix"
"","신도림","","서울특별시 구로구 경인로 619-3","TRUE","legacy_manual_fix"
"","대원","","서울특별시 구로구 도림로 108","TRUE","legacy_manual_fix"
"","호국 보훈 구로","","서울특별시 구로구 우마1가길 13-9","TRUE","legacy_manual_fix"
"","일심","","서울특별시 영등포구 영등포로30길 17-7","TRUE","legacy_manual_fix"
"","양평3가","","서울특별시 영등포구 양평동3가 77-66","TRUE","legacy_manual_fix"
"","신길5동시범길","","서울특별시 영등포구 신길5동 405-43","TRUE","legacy_manual_fix"
"","학수","","서울특별시 동작구 사당로27길 217","TRUE","legacy_manual_fix"
"","사당솔밭","","서울특별시 동작구 사당로 189","TRUE","legacy_manual_fix"
"","삼성래미안아파트","","서울특별시 강남구 언주로 202","TRUE","legacy_manual_fix"
"","역삼복지경로당","","서울특별시 강남구 역삼동 760-3","TRUE","legacy_manual_fix"
"","몽촌","","서울특별시 송파구 위례성대로2길 28-1","TRUE","legacy_manual_fix"
"","명일1동","","서울특별시 강동구 명일동 326-10","TRUE","legacy_manual_fix"
"","웃말","","서울특별시 강동구 천호옛14길 23-4","TRUE","legacy_manual_fix"
"","성산동성당백삼위성인대학","","서울특별시 마포구 성미산로2길 15","TRUE","legacy_manual_fix"
"","원동교회 늘품나루학교","","서울특별시 용산구 원효로64길 25","TRUE","legacy_manual_fix"
"","구산교회 실버대학","","서울특별시 은평구 연서로11길 32","TRUE","legacy_manual_fix"
"","대한적십자사 구립중구노인요양센터","","서울특별시 중구 장충동2가 192-45","TRUE","legacy_manual_fix"
"","호암마을","","서울특별시 은평구 연서로48길 41","TRUE","legacy_manual_fix"
"","낮은소리의집","","서울특별시 서초구 탑성말길 26","TRUE","legacy_manual_fix"
"","은천요양원","","서울특별시 동대문구 장한로27가길 53","TRUE","legacy_manual_fix"
"","임원요양원","","서울특별시 금천구 독산로 359","TRUE","legacy_manual_fix"
"","큰사랑","","서울특별시 강남구 논현로2길 30","TRUE","legacy_manual_fix"
"","홍파양로원","","서울특별시 노원구 동일로248길 30","TRUE","legacy_manual_fix"
"","좋은친구 재가복지센터","","서울특별시 강북구 미아동 258-179","TRUE","legacy_manual_fix"
"","가족사랑 대자연 재가요양센터","","서울특별시 광진구 아차산로 634","TRUE","legacy_manual_fix"
"","우리들주야간보호센터","","서울특별시 구로구 고척동 72-7","TRUE","legacy_manual_fix"
"","(사)굿하트 금천데이케어센터","","서울특별시 금천구 시흥대로 214","TRUE","legacy_manual_fix"
"","서울시 노원구 재가노인복지기관","","서울특별시 노원구 상계로23길 17","TRUE","legacy_manual_fix"
"","(+A)그린재가복지센터","","서울특별시 동대문구 전농동 648-104","TRUE","legacy_manual_fix"
"","(+A)충무재가복지센터","","서울특별시 동대문구 전농동 648-104","TRUE","legacy_manual_fix"
"","올리브케어 노인복지센터","","서울특별시 동대문구 장안동 431-4","TRUE","legacy_manual_fix"
"","송학데이케어센터","","서울특별시 동작구 상도동 210-249","TRUE","legacy_manual_fix"
"","나래노인복지센터","","서울특별시 동작구 신대방동 724","TRUE","legacy_manual_fix"
"","보사노인복지센터","","서울특별시 마포구 서교동 464-43","TRUE","legacy_manual_fix"
"","백산재가노인복지시설","","서울특별시 서대문구 홍은동 405-8","TRUE","legacy_manual_fix"
"","사랑노인복지센터","","서울특별시 서대문구 북아현동 1017-8","TRUE","legacy_manual_fix"
"","금호무지개노인복지센터","","서울특별시 성동구 금호로13길 17","TRUE","legacy_manual_fix"
"","서울숲단기보호센터","","서울특별시 성동구 뚝섬로 401-2","TRUE","legacy_manual_fix"
"","시립동부치매단기보호센터","","서울특별시 성동구 홍익동 16-1","TRUE","legacy_manual_fix"
"","구립송정동데이케어센터","","서울특별시 성동구 송정동 72-117","TRUE","legacy_manual_fix"
"","다정노인복지센터","","서울특별시 성동구 용답동 용답중앙11길 18","TRUE","legacy_manual_fix"
"","동서울노인복지센터","","서울특별시 성동구 왕십리로 410","TRUE","legacy_manual_fix"
"","길음주간보호소","","서울특별시 성북구 길음동 1289-1","TRUE","legacy_manual_fix"
"","메모리실버","","서울특별시 송파구 석촌동 240-2","TRUE","legacy_manual_fix"
"","사단법인나눔과보람복지회양천재가노인복지센터","","서울특별시 양천구 목동로23길 34","TRUE","legacy_manual_fix"
"","사랑가득 재가복지센터","","서울특별시 양천구 신월동 439-18","TRUE","legacy_manual_fix"
"","에녹요양협동조합 주야간보호센터","","서울특별시 영등포구 가마산로 313","TRUE","legacy_manual_fix"
"","구립영등포노인복지센터 병설 데이케어센터","","서울특별시 영등포구 선유서로34길 10","TRUE","legacy_manual_fix"
"","한마음재가노인지원센터","","서울특별시 용산구 용문동 8-139","TRUE","legacy_manual_fix"
"","인덕재가노인복지센터(단기보호시설)","","서울특별시 은평구 연서로48길 41","TRUE","legacy_manual_fix"
"","우영가정봉사원파견센터재가노인복지센터","","서울특별시 종로구 연지동 178","TRUE","legacy_manual_fix"
"","주심실버복지센터","","서울특별시 중랑구 면목동 100-1","TRUE","legacy_manual_fix"
"","중랑데이케어센터","","서울특별시 중랑구 면목동 178-8","TRUE","legacy_manual_fix"
"","사랑과섬김요양원단기보호","","서울특별시 중랑구 묵동 239-51","TRUE","legacy_manual_fix"
"","두레데이케어","","서울특별시 중랑구 신내동 537-3","TRUE","legacy_manual_fix"
"","서울예정재가노인복지센터","","서울특별시 중랑구 용마산로 348","TRUE","legacy_manual_fix"
